,model_name,device_name,n_ts,end_time,n_sim,simulator,precision,gpu_name,total_time,sim_time
0,pysb.examples.michment,rage,101,100,128,cuda,fp64,TeslaV100-SXM2-32GB,1.0397229194641113,0.0028269290924072266
1,pysb.examples.michment,rage,101,100,256,cuda,fp64,TeslaV100-SXM2-32GB,0.11729931831359863,0.0027246475219726562
2,pysb.examples.michment,rage,101,100,512,cuda,fp64,TeslaV100-SXM2-32GB,0.13339686393737793,0.003012418746948242
3,pysb.examples.michment,rage,101,100,1024,cuda,fp64,TeslaV100-SXM2-32GB,0.16435456275939941,0.003109455108642578
4,pysb.examples.michment,rage,101,100,2048,cuda,fp64,TeslaV100-SXM2-32GB,0.2296276092529297,0.0034122467041015625
5,pysb.examples.michment,rage,101,100,4096,cuda,fp64,TeslaV100-SXM2-32GB,0.4032013416290283,0.0038318634033203125
6,pysb.examples.michment,rage,101,100,8192,cuda,fp64,TeslaV100-SXM2-32GB,0.6111035346984863,0.005035877227783203
7,pysb.examples.michment,rage,101,100,16384,cuda,fp64,TeslaV100-SXM2-32GB,1.1218523979187012,0.007439613342285156
8,pysb.examples.michment,rage,101,100,32768,cuda,fp64,TeslaV100-SXM2-32GB,2.246486186981201,0.012532472610473633
9,pysb.examples.michment,rage,101,100,65536,cuda,fp64,TeslaV100-SXM2-32GB,4.3941426277160645,0.02726578712463379
