,model_name,device_name,n_ts,end_time,n_sim,simulator,precision,gpu_name,total_time,sim_time
0,pysb.examples.earm_1_0,rage,101,20000,128,cuda,fp32,TeslaV100-SXM2-32GB,200.75246214866638,200.42728543281555
1,pysb.examples.earm_1_0,rage,101,20000,256,cuda,fp32,TeslaV100-SXM2-32GB,203.17845749855042,202.96635103225708
2,pysb.examples.earm_1_0,rage,101,20000,512,cuda,fp32,TeslaV100-SXM2-32GB,215.66115355491638,215.38434720039368
3,pysb.examples.earm_1_0,rage,101,20000,1024,cuda,fp32,TeslaV100-SXM2-32GB,214.40983629226685,214.000239610672
4,pysb.examples.earm_1_0,rage,101,20000,2048,cuda,fp32,TeslaV100-SXM2-32GB,217.5234124660492,216.8523371219635
5,pysb.examples.earm_1_0,rage,101,20000,4096,cuda,fp32,TeslaV100-SXM2-32GB,211.08211660385132,209.89292860031128
6,pysb.examples.earm_1_0,rage,101,20000,8192,cuda,fp32,TeslaV100-SXM2-32GB,235.39828872680664,233.15188717842102
7,pysb.examples.earm_1_0,rage,101,20000,16384,cuda,fp32,TeslaV100-SXM2-32GB,478.23233294487,473.9734766483307
8,pysb.examples.earm_1_0,rage,101,20000,32768,cuda,fp32,TeslaV100-SXM2-32GB,754.370857000351,745.8105189800262
9,pysb.examples.earm_1_0,rage,101,20000,65536,cuda,fp32,TeslaV100-SXM2-32GB,1331.5957481861115,1314.6835420131683
