,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator
0,piccolo,100,GeForce GTX 1060,pysb.examples.michment,128,101,0.251282930374,cutauleaping
1,piccolo,100,GeForce GTX 1060,pysb.examples.michment,256,101,0.260159015656,cutauleaping
2,piccolo,100,GeForce GTX 1060,pysb.examples.michment,512,101,0.325355052948,cutauleaping
3,piccolo,100,GeForce GTX 1060,pysb.examples.michment,1024,101,0.450459003448,cutauleaping
4,piccolo,100,GeForce GTX 1060,pysb.examples.michment,2048,101,0.686752080917,cutauleaping
5,piccolo,100,GeForce GTX 1060,pysb.examples.michment,4096,101,1.14721488953,cutauleaping
6,piccolo,100,GeForce GTX 1060,pysb.examples.michment,8192,101,2.34525418282,cutauleaping
7,piccolo,100,GeForce GTX 1060,pysb.examples.michment,16384,101,4.57192897797,cutauleaping
