,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator
0,mule,100,GeForce GTX 1080,pysb.examples.kinase_cascade,128,101,14.4960780144,cutauleaping
1,mule,100,GeForce GTX 1080,pysb.examples.kinase_cascade,256,101,15.0016639233,cutauleaping
2,mule,100,GeForce GTX 1080,pysb.examples.kinase_cascade,512,101,15.4501180649,cutauleaping
3,mule,100,GeForce GTX 1080,pysb.examples.kinase_cascade,1024,101,16.6116969585,cutauleaping
4,mule,100,GeForce GTX 1080,pysb.examples.kinase_cascade,2048,101,22.8530540466,cutauleaping
5,mule,100,GeForce GTX 1080,pysb.examples.kinase_cascade,4096,101,31.9190011024,cutauleaping
6,mule,100,GeForce GTX 1080,pysb.examples.kinase_cascade,8192,101,50.1385910511,cutauleaping
7,mule,100,GeForce GTX 1080,pysb.examples.kinase_cascade,16384,101,85.8016779423,cutauleaping
