,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator
0,puma,100,Tesla K20c,pysb.examples.kinase_cascade,128,101,59.9395539761,gpu_ssa
1,puma,100,Tesla K20c,pysb.examples.kinase_cascade,256,101,57.3290288448,gpu_ssa
2,puma,100,Tesla K20c,pysb.examples.kinase_cascade,512,101,57.2584769726,gpu_ssa
3,puma,100,Tesla K20c,pysb.examples.kinase_cascade,1024,101,57.3960549831,gpu_ssa
4,puma,100,Tesla K20c,pysb.examples.kinase_cascade,2048,101,57.4254169464,gpu_ssa
5,puma,100,Tesla K20c,pysb.examples.kinase_cascade,4096,101,112.417471886,gpu_ssa
6,puma,100,Tesla K20c,pysb.examples.kinase_cascade,8192,101,165.659667015,gpu_ssa
7,puma,100,Tesla K20c,pysb.examples.kinase_cascade,16384,101,278.800168037,gpu_ssa
