device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
buu,100,RTX2080,pysb.examples.michment,128,101,0.01801443099975586,gpu_ssa,1.3891098499298096
buu,100,RTX2080,pysb.examples.michment,256,101,0.01100921630859375,gpu_ssa,1.3801498413085938
buu,100,RTX2080,pysb.examples.michment,512,101,0.012010335922241211,gpu_ssa,1.411325454711914
buu,100,RTX2080,pysb.examples.michment,1024,101,0.015022993087768555,gpu_ssa,1.4716510772705078
buu,100,RTX2080,pysb.examples.michment,2048,101,0.02101731300354004,gpu_ssa,1.4999566078186035
buu,100,RTX2080,pysb.examples.michment,4096,101,0.034029245376586914,gpu_ssa,1.718465805053711
buu,100,RTX2080,pysb.examples.michment,8192,101,0.0600588321685791,gpu_ssa,2.020693063735962
buu,100,RTX2080,pysb.examples.michment,16384,101,0.11409473419189453,gpu_ssa,2.6970484256744385
buu,100,RTX2080,pysb.examples.michment,32768,101,0.23919963836669922,gpu_ssa,3.967458724975586
buu,100,RTX2080,pysb.examples.michment,128,101,0.018013477325439453,gpu_ssa,1.5682990550994873
buu,100,RTX2080,pysb.examples.michment,256,101,0.011008977890014648,gpu_ssa,1.4171812534332275
buu,100,RTX2080,pysb.examples.michment,512,101,0.012000560760498047,gpu_ssa,1.4657869338989258
buu,100,RTX2080,pysb.examples.michment,1024,101,0.01401209831237793,gpu_ssa,1.5162670612335205
buu,100,RTX2080,pysb.examples.michment,2048,101,0.02101731300354004,gpu_ssa,1.5293071269989014
buu,100,RTX2080,pysb.examples.michment,4096,101,0.03503084182739258,gpu_ssa,1.7014176845550537
buu,100,RTX2080,pysb.examples.michment,8192,101,0.05904889106750488,gpu_ssa,2.002669334411621
buu,100,RTX2080,pysb.examples.michment,16384,101,0.11209487915039062,gpu_ssa,2.673609495162964
buu,100,RTX2080,pysb.examples.michment,32768,101,0.23119187355041504,gpu_ssa,3.9725542068481445
buu,100,RTX2080,pysb.examples.michment,65536,101,0.45838332176208496,gpu_ssa,6.54048228263855
buu,100,RTX2080,pysb.examples.michment,131072,101,0.8917434215545654,gpu_ssa,11.72076940536499
buu,100,RTX2080,pysb.examples.schlogl,128,101,0.16313552856445312,gpu_ssa,4.025975465774536
buu,100,RTX2080,pysb.examples.schlogl,256,101,0.4023439884185791,gpu_ssa,1.676546335220337
buu,100,RTX2080,pysb.examples.schlogl,512,101,0.28723978996276855,gpu_ssa,1.5984516143798828
buu,100,RTX2080,pysb.examples.schlogl,1024,101,0.4603841304779053,gpu_ssa,1.8095979690551758
buu,100,RTX2080,pysb.examples.schlogl,2048,101,0.7666306495666504,gpu_ssa,2.1556143760681152
buu,100,RTX2080,pysb.examples.schlogl,4096,101,0.7185983657836914,gpu_ssa,2.1644058227539062
buu,100,RTX2080,pysb.examples.schlogl,8192,101,0.8176817893981934,gpu_ssa,2.4333994388580322
buu,100,RTX2080,pysb.examples.schlogl,16384,101,0.9568061828613281,gpu_ssa,2.831545114517212
buu,100,RTX2080,pysb.examples.schlogl,32768,101,1.8265228271484375,gpu_ssa,4.338909149169922
buu,100,RTX2080,pysb.examples.schlogl,128,101,8.621147155761719,bng,8.621147155761719
buu,100,RTX2080,pysb.examples.schlogl,256,101,16.936986446380615,bng,16.936986446380615
buu,100,RTX2080,pysb.examples.schlogl,512,101,33.38867926597595,bng,33.38867926597595
buu,100,RTX2080,pysb.examples.schlogl,1024,101,66.60063481330872,bng,66.60063481330872
buu,100,RTX2080,pysb.examples.schlogl,2048,101,132.39149165153503,bng,132.39149165153503
buu,100,RTX2080,pysb.examples.schlogl,4096,101,267.0704312324524,bng,267.0704312324524
buu,100,RTX2080,pysb.examples.schlogl,128,101,0.1517021656036377,gpu_ssa,0.2673029899597168
buu,100,RTX2080,pysb.examples.schlogl,256,101,0.21875,gpu_ssa,0.3235819339752197
buu,100,RTX2080,pysb.examples.schlogl,512,101,0.5664799213409424,gpu_ssa,0.6842420101165771
buu,100,RTX2080,pysb.examples.schlogl,1024,101,0.3436450958251953,gpu_ssa,0.4831368923187256
buu,100,RTX2080,pysb.examples.schlogl,2048,101,0.22747516632080078,gpu_ssa,0.413891077041626
buu,100,RTX2080,pysb.examples.schlogl,4096,101,0.7182009220123291,gpu_ssa,0.9968791007995605
buu,100,RTX2080,pysb.examples.schlogl,8192,101,0.6854300498962402,gpu_ssa,1.121953010559082
buu,100,RTX2080,pysb.examples.schlogl,16384,101,0.9737191200256348,gpu_ssa,1.7750129699707031
buu,100,RTX2080,pysb.examples.schlogl,32768,101,1.4721870422363281,gpu_ssa,2.963104009628296
buu,100,RTX2080,pysb.examples.schlogl,128,101,1.9383821487426758,bng,1.9383821487426758
buu,100,RTX2080,pysb.examples.kinase_cascade,128,101,28.24376106262207,gpu_ssa,29.379008054733276
buu,100,RTX2080,pysb.examples.kinase_cascade,256,101,56.29476308822632,gpu_ssa,56.42074799537659
buu,100,RTX2080,pysb.examples.kinase_cascade,512,101,56.32311797142029,gpu_ssa,56.476258993148804
buu,100,RTX2080,pysb.examples.kinase_cascade,1024,101,56.375405073165894,gpu_ssa,56.57011389732361
buu,100,RTX2080,pysb.examples.kinase_cascade,2048,101,56.350297927856445,gpu_ssa,56.62520980834961
buu,100,RTX2080,pysb.examples.kinase_cascade,4096,101,56.72938013076782,gpu_ssa,57.17123103141785
buu,100,RTX2080,pysb.examples.kinase_cascade,8192,101,56.90311002731323,gpu_ssa,57.74881911277771
buu,100,RTX2080,pysb.examples.kinase_cascade,16384,101,113.73395991325378,gpu_ssa,115.18668007850647
