128 2 64 18.07337212562561
128 4 32 14.008260726928711
128 8 16 14.162931680679321
128 16 8 11.298063516616821
128 32 4 11.378282070159912
128 64 2 14.096932172775269
128 128 1 14.101123332977295
128 256 1 13.835632801055908
256 2 128 45.803993225097656
256 4 64 18.055678367614746
256 8 32 14.22224736213684
256 16 16 14.284520626068115
256 32 8 11.406538248062134
256 64 4 11.387804508209229
256 128 2 14.221559286117554
256 256 1 23.2107515335083
512 2 256 60.33345365524292
512 4 128 46.38999891281128
512 8 64 18.25061821937561
512 16 32 14.342586755752563
512 32 16 14.322189807891846
512 64 8 14.303261756896973
512 128 4 14.342223405838013
512 256 2 23.387701511383057
1024 2 512 116.64440679550171
1024 4 256 70.06048274040222
1024 8 128 46.13879084587097
1024 16 64 17.94718909263611
1024 32 32 14.390198707580566
1024 64 16 14.417700052261353
1024 128 8 14.425460577011108
1024 256 4 23.50317621231079
2048 2 1024 210.98877429962158
2048 4 512 116.81106638908386
2048 8 256 69.0646231174469
2048 16 128 37.608891010284424
2048 32 64 17.947540521621704
2048 64 32 23.011590003967285
2048 128 16 23.025289297103882
2048 256 8 23.52298927307129
4096 2 2048 401.8017978668213
4096 4 1024 210.75458669662476
4096 8 512 114.90286231040955
4096 16 256 60.180379152297974
4096 32 128 36.62161135673523
4096 64 64 37.40213060379028
4096 128 32 45.887425661087036
4096 256 16 45.435091495513916
8192 2 4096 798.1783859729767
8192 4 2048 402.5499565601349
8192 8 1024 206.89748120307922
8192 16 512 114.7897219657898
8192 32 256 69.01555180549622
8192 64 128 68.93924307823181
8192 128 64 69.18413352966309
8192 256 32 69.12720155715942
16384 2 8192 1596.4891440868378
16384 4 4096 798.5198788642883
16384 8 2048 401.10040163993835
16384 16 1024 206.7800772190094
16384 32 512 114.62953019142151
16384 64 256 115.00179505348206
16384 128 128 116.81249165534973
16384 256 64 116.25305461883545
32768 2 16384 3189.5259845256805
32768 4 8192 1593.6869933605194
32768 8 4096 793.3759760856628
32768 16 2048 400.7403497695923
32768 32 1024 207.20482969284058
32768 64 512 208.01882934570312
32768 128 256 209.16639804840088
32768 256 128 209.40137481689453
65536 2 32768 6369.767884969711
65536 4 16384 3175.139662027359
65536 8 8192 1567.9491057395935
65536 16 4096 782.5415930747986
65536 32 2048 398.518168926239
65536 64 1024 402.07678031921387
65536 128 512 413.5915701389313
65536 256 256 414.8766231536865
