,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator
0,puma,20000,Tesla K20c,pysb.examples.earm_1_0,128,101,53.4451010227,stochkit_eight_cpu_tau
1,puma,20000,Tesla K20c,pysb.examples.earm_1_0,256,101,100.930428982,stochkit_eight_cpu_tau
2,puma,20000,Tesla K20c,pysb.examples.earm_1_0,512,101,194.628547907,stochkit_eight_cpu_tau
3,puma,20000,Tesla K20c,pysb.examples.earm_1_0,1024,101,388.216958046,stochkit_eight_cpu_tau
4,puma,20000,Tesla K20c,pysb.examples.earm_1_0,2048,101,761.189517021,stochkit_eight_cpu_tau
5,puma,20000,Tesla K20c,pysb.examples.earm_1_0,4096,101,1512.66301489,stochkit_eight_cpu_tau
6,puma,20000,Tesla K20c,pysb.examples.earm_1_0,8192,101,3095.01622796,stochkit_eight_cpu_tau
7,puma,20000,Tesla K20c,pysb.examples.earm_1_0,16384,101,6180.51535392,stochkit_eight_cpu_tau
