,device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,threads
0,mule,20000,GeForce GTX 1080,pysb.examples.earm_1_0,128,101,656.49819684,gpu_ssa,64
1,mule,20000,GeForce GTX 1080,pysb.examples.earm_1_0,256,101,662.334738016,gpu_ssa,64
2,mule,20000,GeForce GTX 1080,pysb.examples.earm_1_0,512,101,675.910580873,gpu_ssa,64
3,mule,20000,GeForce GTX 1080,pysb.examples.earm_1_0,1024,101,666.629179955,gpu_ssa,64
4,mule,20000,GeForce GTX 1080,pysb.examples.earm_1_0,2048,101,707.901737928,gpu_ssa,64
5,mule,20000,GeForce GTX 1080,pysb.examples.earm_1_0,4096,101,959.167610884,gpu_ssa,64
6,mule,20000,GeForce GTX 1080,pysb.examples.earm_1_0,8192,101,1865.47016406,gpu_ssa,64
7,mule,20000,GeForce GTX 1080,pysb.examples.earm_1_0,16384,101,3672.63597393,gpu_ssa,64
