device_name,end_time,gpu_name,model_name,n_sim,n_ts,sim_time,simulator,total_time
bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,128,101,4210.9673,bng,4217.938689470291
bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,256,101,6348.137199999998,bng,6356.8250942230225
bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,512,101,12628.227799999988,bng,12645.359526395798
bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,1024,101,25805.277000000013,bng,25839.436697244644
bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,2048,101,53670.920299999874,bng,53742.258672475815
bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,4096,101,113075.98469999999,bng,113218.91308116913
bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,8192,101,203555.37150000109,bng,203817.35728621483
bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,16384,101,404603.9185000008,bng,405138.6454806328
bad.mc.vanderbilt.edu,20000,TeslaV100-SXM2-16GB,pysb.examples.earm_1_0,32768,101,827438.2029999953,bng,828541.4408380985
